Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,4031594496,4031594496,0,4.506969451904297,1,1
1,4031598592,4031598592,0,4.2230706214904785,1,1
2,4031598592,4031598592,0,4.336835861206055,1,1
3,4031598592,4031541248,57344,4.381039142608643,1,1
4,4031541248,4031541248,0,4.287220001220703,1,1
5,4031541248,4031541248,0,4.413489103317261,1,1
6,4031541248,4031541248,0,4.550497531890869,1,1
7,4031545344,4031545344,0,4.443625450134277,1,1
8,4031545344,4031545344,0,4.441520929336548,1,1
9,4031545344,4031545344,0,4.393897771835327,1,1
