Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,16867328,16867328,0,0.0,1117,1799
1,16867328,16867328,0,0.0,1117,1799
2,16867328,16867328,0,0.0,1117,1799
3,16867328,16867328,0,0.0,1117,1799
4,16867328,16867328,0,0.0,1117,1799
5,16867328,16867328,0,0.0,1117,1799
6,16867328,16867328,0,0.0,1117,1799
7,16867328,16867328,0,0.0,1117,1799
8,16867328,16867328,0,0.0,1117,1799
9,16867328,16867328,0,0.0,1117,1799
