Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,17977344,17977344,0,0.0,65432,-1
1,17977344,17977344,0,0.0,65432,-1
2,17977344,17977344,0,0.0,65432,-1
3,17977344,17977344,0,0.0,65432,-1
4,17977344,17977344,0,0.0,65432,-1
5,17977344,17977344,0,0.0,65432,-1
6,17977344,17977344,0,0.0,65432,-1
7,17977344,17977344,0,0.0,65432,-1
8,17977344,17977344,0,0.0,65432,-1
9,17977344,17977344,0,0.0,65432,-1
