Iteracao,Uso de Memoria - Inicial (bytes),Uso de Memoria - Final (bytes),Uso de Memoria - Diferenca (bytes),Tempo de Execucao (s),Valor Procurado,Indice no Vetor
0,37736448,37736448,0,0.03129863739013672,26287,439326
1,37736448,37736448,0,0.03124833106994629,26287,439326
2,37736448,37736448,0,0.016028881072998047,26287,439326
3,37736448,37736448,0,0.01564955711364746,26287,439326
4,37736448,37736448,0,0.015636920928955078,26287,439326
5,37736448,37736448,0,0.01670384407043457,26287,439326
6,37736448,37736448,0,0.02972102165222168,26287,439326
7,37736448,37736448,0,0.015639781951904297,26287,439326
8,37736448,37736448,0,0.031264543533325195,26287,439326
9,37736448,37736448,0,0.02064800262451172,26287,439326
